fold_test_nlr,max_depth,min_child_weight,learning_rate,n_estimators,best_inner_mcc,pool
D1__ChEhDap__confirmed,4,3,0.1,400,0.7938814440972826,mean
D2__CsDfp__confirmed,2,1,0.05,400,0.7252541873546352,mean
D2__PaYp__confirmed,4,3,0.1,200,0.7813710039452791,mean
E1__ChEhDap__confirmed,5,3,0.1,600,0.6458795179688716,mean
E1__CmEmm__confirmed,5,5,0.05,400,0.6332014731848807,mean
E1__FJ897789__confirmed,4,1,0.1,200,0.6442937711877845,mean
E1__PaWa100p__inferred,5,3,0.1,400,0.6341347079194019,mean
E1__PaWa87p__inferred,5,3,0.05,600,0.6168891044191485,mean
E1__PaYp__confirmed,3,3,0.1,600,0.627085968162818,mean
E2__CoEcp__confirmed,2,3,0.1,200,0.6557821169829904,mean
E3__CoEfp__confirmed,2,3,0.1,400,0.5851126532026224,mean
E3__PaWa46p__inferred,2,3,0.1,400,0.5851126532026224,mean
E3__PaWa58m__inferred,2,3,0.1,400,0.5851126532026224,mean
E3__PaZp__confirmed,2,3,0.1,400,0.5851126532026224,mean
d3__CmEmm__confirmed,2,1,0.03,600,0.5931522827087663,mean
d3__PaWa100p__inferred,2,3,0.05,400,0.6674505069136724,mean
d3__PaWa137m__inferred,2,1,0.05,600,0.7182049154876475,mean
d3__PaWa21m__inferred,2,3,0.1,200,0.7015631377487704,mean
d3__PaWa53m__inferred,2,1,0.05,400,0.6901545735603245,mean
d3__PaWa58m__inferred,2,1,0.05,400,0.7377077306457149,mean
d3__PaZp__confirmed,3,3,0.03,400,0.754480703337491,mean
e4__PaTgp__inferred,2,3,0.05,400,0.7302222497203937,mean
e4__PaWa137m__inferred,2,3,0.05,400,0.7302222497203937,mean
e4__PaWa28m__inferred,2,3,0.05,400,0.7729020317013012,mean
e4__PaWa63p__confirmed,2,3,0.05,600,0.7302222497203937,mean
D1__ChEhDap__confirmed,3,1,0.03,600,0.800972045425451,max
D2__CsDfp__confirmed,4,1,0.03,400,0.7367320656546237,max
D2__PaYp__confirmed,4,1,0.05,600,0.7997743927915331,max
E1__ChEhDap__confirmed,2,1,0.1,200,0.6762493004924158,max
E1__CmEmm__confirmed,2,1,0.1,400,0.6229177815586411,max
E1__FJ897789__confirmed,4,3,0.1,400,0.7038469780110826,max
E1__PaWa100p__inferred,3,1,0.03,400,0.6821843009898553,max
E1__PaWa87p__inferred,5,1,0.05,400,0.6564852960069442,max
E1__PaYp__confirmed,5,1,0.03,400,0.6716812605701996,max
E2__CoEcp__confirmed,2,1,0.05,400,0.6909011813058207,max
E3__CoEfp__confirmed,3,1,0.03,400,0.6638842998815606,max
E3__PaWa46p__inferred,3,3,0.03,600,0.6767217133504918,max
E3__PaWa58m__inferred,3,3,0.03,600,0.6767217133504918,max
E3__PaZp__confirmed,3,3,0.03,600,0.6767217133504918,max
d3__CmEmm__confirmed,2,1,0.1,200,0.6823103434884927,max
d3__PaWa100p__inferred,3,3,0.1,600,0.7188396445960022,max
d3__PaWa137m__inferred,2,1,0.05,600,0.7712119315157866,max
d3__PaWa21m__inferred,2,3,0.05,600,0.7712119315157866,max
d3__PaWa53m__inferred,2,3,0.03,600,0.7251106466520998,max
d3__PaWa58m__inferred,2,1,0.05,400,0.7778229282616815,max
d3__PaZp__confirmed,2,3,0.05,600,0.7188396445960022,max
e4__PaTgp__inferred,2,3,0.05,600,0.7122286478501073,max
e4__PaWa137m__inferred,2,3,0.05,600,0.7122286478501073,max
e4__PaWa28m__inferred,2,3,0.05,600,0.7890031314565707,max
e4__PaWa63p__confirmed,2,3,0.05,600,0.7097313712540063,max
