mcc,f1,n_pos,n_neg,fold_test_nlr,phenotype,confidence,n_train,n_test,train_pos_frac,test_pos_frac,pool
0.0,0.0,7,4,D1__ChEhDap__confirmed,D1,confirmed,264,11,0.23106060606060605,0.6363636363636364,mean
0.0,0.0,5,6,D2__CsDfp__confirmed,D2,confirmed,264,11,0.23863636363636365,0.45454545454545453,mean
0.0,0.0,5,6,D2__PaYp__confirmed,D2,confirmed,264,11,0.23863636363636365,0.45454545454545453,mean
1.0,1.0,3,8,E1__ChEhDap__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,mean
0.0,0.0,3,8,E1__CmEmm__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,mean
0.2608745973749754,0.5,3,8,E1__FJ897789__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,mean
1.0,1.0,3,8,E1__PaWa100p__inferred,E1,inferred,264,11,0.24621212121212122,0.2727272727272727,mean
1.0,1.0,3,8,E1__PaWa87p__inferred,E1,inferred,264,11,0.24621212121212122,0.2727272727272727,mean
1.0,1.0,3,8,E1__PaYp__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,mean
0.0,0.0,9,2,E2__CoEcp__confirmed,E2,confirmed,264,11,0.22348484848484848,0.8181818181818182,mean
1.0,1.0,6,5,E3__CoEfp__confirmed,E3,confirmed,264,11,0.23484848484848486,0.5454545454545454,mean
1.0,1.0,6,5,E3__PaWa46p__inferred,E3,inferred,264,11,0.23484848484848486,0.5454545454545454,mean
1.0,1.0,6,5,E3__PaWa58m__inferred,E3,inferred,264,11,0.23484848484848486,0.5454545454545454,mean
1.0,1.0,6,5,E3__PaZp__confirmed,E3,confirmed,264,11,0.23484848484848486,0.5454545454545454,mean
,,0,11,d3__CmEmm__confirmed,d3,confirmed,264,11,0.25757575757575757,0.0,mean
,,0,11,d3__PaWa100p__inferred,d3,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,d3__PaWa137m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,d3__PaWa21m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,d3__PaWa53m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,d3__PaWa58m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,d3__PaZp__confirmed,d3,confirmed,264,11,0.25757575757575757,0.0,mean
,,0,11,e4__PaTgp__inferred,e4,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,e4__PaWa137m__inferred,e4,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,e4__PaWa28m__inferred,e4,inferred,264,11,0.25757575757575757,0.0,mean
,,0,11,e4__PaWa63p__confirmed,e4,confirmed,264,11,0.25757575757575757,0.0,mean
0.0,0.0,7,4,D1__ChEhDap__confirmed,D1,confirmed,264,11,0.23106060606060605,0.6363636363636364,max
0.0,0.0,5,6,D2__CsDfp__confirmed,D2,confirmed,264,11,0.23863636363636365,0.45454545454545453,max
0.0,0.0,5,6,D2__PaYp__confirmed,D2,confirmed,264,11,0.23863636363636365,0.45454545454545453,max
1.0,1.0,3,8,E1__ChEhDap__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,max
1.0,1.0,3,8,E1__CmEmm__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,max
0.769800358919501,0.8,3,8,E1__FJ897789__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,max
1.0,1.0,3,8,E1__PaWa100p__inferred,E1,inferred,264,11,0.24621212121212122,0.2727272727272727,max
0.769800358919501,0.8,3,8,E1__PaWa87p__inferred,E1,inferred,264,11,0.24621212121212122,0.2727272727272727,max
1.0,1.0,3,8,E1__PaYp__confirmed,E1,confirmed,264,11,0.24621212121212122,0.2727272727272727,max
0.5163977794943223,0.8,9,2,E2__CoEcp__confirmed,E2,confirmed,264,11,0.22348484848484848,0.8181818181818182,max
0.8280786712108251,0.9230769230769231,6,5,E3__CoEfp__confirmed,E3,confirmed,264,11,0.23484848484848486,0.5454545454545454,max
1.0,1.0,6,5,E3__PaWa46p__inferred,E3,inferred,264,11,0.23484848484848486,0.5454545454545454,max
1.0,1.0,6,5,E3__PaWa58m__inferred,E3,inferred,264,11,0.23484848484848486,0.5454545454545454,max
1.0,1.0,6,5,E3__PaZp__confirmed,E3,confirmed,264,11,0.23484848484848486,0.5454545454545454,max
,,0,11,d3__CmEmm__confirmed,d3,confirmed,264,11,0.25757575757575757,0.0,max
,,0,11,d3__PaWa100p__inferred,d3,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,d3__PaWa137m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,d3__PaWa21m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,d3__PaWa53m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,d3__PaWa58m__inferred,d3,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,d3__PaZp__confirmed,d3,confirmed,264,11,0.25757575757575757,0.0,max
,,0,11,e4__PaTgp__inferred,e4,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,e4__PaWa137m__inferred,e4,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,e4__PaWa28m__inferred,e4,inferred,264,11,0.25757575757575757,0.0,max
,,0,11,e4__PaWa63p__confirmed,e4,confirmed,264,11,0.25757575757575757,0.0,max
