fold_test_nlr,phenotype,confidence,n_train,n_test,mcc,n_pos,n_neg,pool
D1__ChEhDap__confirmed,D1,confirmed,264,11,0.0,7,4,mean
D2__CsDfp__confirmed,D2,confirmed,264,11,0.0,5,6,mean
D2__PaYp__confirmed,D2,confirmed,264,11,0.0,5,6,mean
E1__ChEhDap__confirmed,E1,confirmed,264,11,0.5590169943749475,3,8,mean
E1__CmEmm__confirmed,E1,confirmed,264,11,1.0,3,8,mean
E1__FJ897789__confirmed,E1,confirmed,264,11,0.0,3,8,mean
E1__PaWa100p__inferred,E1,inferred,264,11,0.4629100498862757,3,8,mean
E1__PaWa87p__inferred,E1,inferred,264,11,0.6708203932499369,3,8,mean
E1__PaYp__confirmed,E1,confirmed,264,11,0.375,3,8,mean
E2__CoEcp__confirmed,E2,confirmed,264,11,-0.28867513459481287,9,2,mean
E3__CoEfp__confirmed,E3,confirmed,264,11,0.0,6,5,mean
E3__PaWa46p__inferred,E3,inferred,264,11,0.0,6,5,mean
E3__PaWa58m__inferred,E3,inferred,264,11,0.0,6,5,mean
E3__PaZp__confirmed,E3,confirmed,264,11,0.0,6,5,mean
d3__CmEmm__confirmed,d3,confirmed,264,11,,0,11,mean
d3__PaWa100p__inferred,d3,inferred,264,11,,0,11,mean
d3__PaWa137m__inferred,d3,inferred,264,11,,0,11,mean
d3__PaWa21m__inferred,d3,inferred,264,11,,0,11,mean
d3__PaWa53m__inferred,d3,inferred,264,11,,0,11,mean
d3__PaWa58m__inferred,d3,inferred,264,11,,0,11,mean
d3__PaZp__confirmed,d3,confirmed,264,11,,0,11,mean
e4__PaTgp__inferred,e4,inferred,264,11,,0,11,mean
e4__PaWa137m__inferred,e4,inferred,264,11,,0,11,mean
e4__PaWa28m__inferred,e4,inferred,264,11,,0,11,mean
e4__PaWa63p__confirmed,e4,confirmed,264,11,,0,11,mean
